state,county,population
Ohio,Franklin County,1275333
Ohio,Cuyahoga County,1253783
Ohio,Hamilton County,812037
Ohio,Summit County,541810
Ohio,Montgomery County,532034
Ohio,Lucas County,432379
Ohio,Butler County,378294
Ohio,Stark County,373475
Ohio,Lorain County,306713
Ohio,Mahoning County,231064
Ohio,Lake County,230052
Ohio,Warren County,226564
Ohio,Clermont County,203216
Ohio,Trumbull County,201794
Ohio,Delaware County,197008
Ohio,Medina County,177257
Ohio,Licking County,172293
Ohio,Greene County,165811
Ohio,Portage County,162644
Ohio,Fairfield County,152910
Ohio,Clark County,135198
Ohio,Wood County,129936
Ohio,Richland County,121324
Ohio,Wayne County,116208
Ohio,Miami County,104800
Ohio,Columbiana County,104003
Ohio,Allen County,103642
Ohio,Ashtabula County,98136
Ohio,Geauga County,93961
Ohio,Tuscarawas County,92526
Ohio,Muskingum County,86076
Ohio,Ross County,77051
Ohio,Scioto County,76377
Ohio,Hancock County,75690
Ohio,Erie County,75136
Ohio,Belmont County,68472
Ohio,Jefferson County,66886
Ohio,Athens County,65936
Ohio,Marion County,65344
Ohio,Knox County,61215
Ohio,Washington County,60671
Ohio,Lawrence County,60622
Ohio,Sandusky County,59299
Ohio,Huron County,58457
Ohio,Pickaway County,57420
Ohio,Union County,55654
Ohio,Seneca County,55475
Ohio,Ashland County,53477
Ohio,Darke County,51734
Ohio,Shelby County,48797
Ohio,Auglaize County,45784
Ohio,Logan County,45307
Ohio,Madison County,43988
Ohio,Holmes County,43859
Ohio,Brown County,43679
Ohio,Highland County,43007
Ohio,Fulton County,42305
Ohio,Crawford County,42021
Ohio,Clinton County,41896
Ohio,Preble County,41207
Ohio,Mercer County,40806
Ohio,Ottawa County,40709
Ohio,Guernsey County,39274
Ohio,Champaign County,38864
Ohio,Defiance County,38279
Ohio,Williams County,36936
Ohio,Coshocton County,36574
Ohio,Perry County,35985
Ohio,Morrow County,34976
Ohio,Putnam County,33969
Ohio,Jackson County,32524
Ohio,Hardin County,31542
Ohio,Gallia County,30195
Ohio,Fayette County,28645
Ohio,Hocking County,28495
Ohio,Van Wert County,28281
Ohio,Pike County,28214
Ohio,Adams County,27878
Ohio,Carroll County,27578
Ohio,Henry County,27316
Ohio,Meigs County,23160
Ohio,Wyandot County,22107
Ohio,Paulding County,18872
Ohio,Harrison County,15307
Ohio,Morgan County,14702
Ohio,Noble County,14443
Ohio,Monroe County,14090
Ohio,Vinton County,13111
Alaska,Anchorage Municipality,296112
Alaska,Matanuska-Susitna Borough,103464
Alaska,Fairbanks North Star Borough,99653
Alaska,Kenai Peninsula Borough,58220
Alaska,Juneau City and Borough,32330
Alaska,Bethel Census Area,18040
Alaska,Ketchikan Gateway Borough,13804
Alaska,Kodiak Island Borough,13649
Alaska,Nome Census Area,9925
Alaska,North Slope Borough,9797
Alaska,Valdez-Cordova Census Area,9301
Alaska,Sitka City and Borough,8738
Alaska,Kusilvak Census Area,8198
Alaska,Northwest Arctic Borough,7734
Alaska,Southeast Fairbanks Census Area,6876
Alaska,Prince of Wales-Hyder Census Area,6474
Alaska,Aleutians West Census Area,5750
Alaska,Yukon-Koyukuk Census Area,5415
Alaska,Dillingham Census Area,4975
Alaska,Aleutians East Borough,3425
Alaska,Petersburg Borough,3255
Alaska,Haines Borough,2518
Alaska,Wrangell City and Borough,2484
Alaska,Denali Borough,2232
Alaska,Hoonah-Angoon Census Area,2132
Alaska,Lake and Peninsula Borough,1375
Alaska,Skagway Municipality,1061
Alaska,Bristol Bay Borough,890
Alaska,Yakutat City and Borough,689
